T,A,B,C,D,total,skipped,accuracy
0,43,38,0,2,83,0,0.542169
1,43,38,0,2,83,0,0.542169
2,43,38,0,2,83,0,0.542169
3,43,38,0,2,83,0,0.542169
4,43,38,0,2,83,0,0.542169
5,43,37,0,3,83,0,0.554217
6,43,37,0,3,83,0,0.554217
7,43,37,0,3,83,0,0.554217
8,43,37,0,3,83,0,0.554217
9,43,37,0,3,83,0,0.554217
10,41,30,2,10,83,0,0.614458
11,41,30,2,10,83,0,0.614458
12,41,30,2,10,83,0,0.614458
13,41,30,2,10,83,0,0.614458
14,41,29,2,11,83,0,0.626506
15,41,29,2,11,83,0,0.626506
16,41,29,2,11,83,0,0.626506
17,41,29,2,11,83,0,0.626506
18,41,29,2,11,83,0,0.626506
19,41,29,2,11,83,0,0.626506
20,41,26,2,14,83,0,0.662651
21,41,26,2,14,83,0,0.662651
22,41,26,2,14,83,0,0.662651
23,41,26,2,14,83,0,0.662651
24,41,26,2,14,83,0,0.662651
25,41,25,2,15,83,0,0.674699
26,41,25,2,15,83,0,0.674699
27,41,25,2,15,83,0,0.674699
28,41,25,2,15,83,0,0.674699
29,41,25,2,15,83,0,0.674699
30,41,23,2,17,83,0,0.698795
31,41,23,2,17,83,0,0.698795
32,41,23,2,17,83,0,0.698795
33,40,23,3,17,83,0,0.686747
34,40,23,3,17,83,0,0.686747
35,40,22,3,18,83,0,0.698795
36,40,22,3,18,83,0,0.698795
37,40,22,3,18,83,0,0.698795
38,40,22,3,18,83,0,0.698795
39,40,22,3,18,83,0,0.698795
40,39,21,4,19,83,0,0.698795
41,39,21,4,19,83,0,0.698795
42,39,21,4,19,83,0,0.698795
43,39,21,4,19,83,0,0.698795
44,39,21,4,19,83,0,0.698795
45,39,21,4,19,83,0,0.698795
46,39,21,4,19,83,0,0.698795
47,39,21,4,19,83,0,0.698795
48,39,21,4,19,83,0,0.698795
49,39,21,4,19,83,0,0.698795
50,37,18,6,22,83,0,0.710843
51,37,18,6,22,83,0,0.710843
52,37,18,6,22,83,0,0.710843
53,37,18,6,22,83,0,0.710843
54,37,18,6,22,83,0,0.710843
55,37,17,6,23,83,0,0.722892
56,37,17,6,23,83,0,0.722892
57,37,15,6,25,83,0,0.746988
58,37,15,6,25,83,0,0.746988
59,37,15,6,25,83,0,0.746988
60,35,9,8,31,83,0,0.795181
61,35,9,8,31,83,0,0.795181
62,35,9,8,31,83,0,0.795181
63,35,9,8,31,83,0,0.795181
64,35,9,8,31,83,0,0.795181
65,35,6,8,34,83,0,0.831325
66,35,6,8,34,83,0,0.831325
67,35,5,8,35,83,0,0.843373
68,35,5,8,35,83,0,0.843373
69,35,5,8,35,83,0,0.843373
70,33,5,10,35,83,0,0.819277
71,32,5,11,35,83,0,0.807229
72,32,5,11,35,83,0,0.807229
73,32,5,11,35,83,0,0.807229
74,32,5,11,35,83,0,0.807229
75,29,3,14,37,83,0,0.795181
76,29,3,14,37,83,0,0.795181
77,29,3,14,37,83,0,0.795181
78,29,3,14,37,83,0,0.795181
79,29,3,14,37,83,0,0.795181
80,25,2,18,38,83,0,0.759036
81,25,2,18,38,83,0,0.759036
82,25,2,18,38,83,0,0.759036
83,25,2,18,38,83,0,0.759036
84,25,2,18,38,83,0,0.759036
85,21,1,22,39,83,0,0.722892
86,21,1,22,39,83,0,0.722892
87,21,1,22,39,83,0,0.722892
88,21,1,22,39,83,0,0.722892
89,21,1,22,39,83,0,0.722892
90,21,1,22,39,83,0,0.722892
91,21,1,22,39,83,0,0.722892
92,21,1,22,39,83,0,0.722892
93,21,1,22,39,83,0,0.722892
94,21,1,22,39,83,0,0.722892
95,3,0,40,40,83,0,0.518072
96,3,0,40,40,83,0,0.518072
97,3,0,40,40,83,0,0.518072
98,3,0,40,40,83,0,0.518072
99,3,0,40,40,83,0,0.518072
100,0,0,43,40,83,0,0.481928
